customer_id,has_referred_a_friend,number_of_referrals,has_phone_service,has_multiple_lines,has_internet_service,internet_service_type,has_online_security,has_online_backup,avg_monthly_long_distance_charges,avg_monthly_gb_download,has_device_protection,has_tech_support,has_tv,has_movies,has_music,has_unlimited_data
5099-bailx,1,1,1,1,1,fiber optic,0,1,14.52,5,1,1,1,1,0,1
4913-ehyui,0,0,1,1,1,fiber optic,1,0,48.8,12,1,0,1,1,0,1
1626-ercmm,1,7,1,1,1,fiber optic,0,0,5.31,10,0,0,1,1,1,1
5644-pdmzc,0,0,1,1,1,fiber optic,0,1,47.47,19,0,0,0,1,1,1
0823-hscdj,0,0,0,0,1,dsl,0,1,0.0,18,0,0,1,1,1,0
0067-dkwbl,0,0,1,0,1,dsl,1,0,43.99,27,0,0,0,0,0,1
5244-irfih,1,1,1,1,1,fiber optic,0,0,27.78,8,0,0,1,1,0,1
2684-eiweo,0,0,1,1,1,fiber optic,1,1,45.88,19,1,0,0,0,0,1
6683-vlctz,0,0,1,1,1,fiber optic,0,0,44.44,13,1,0,1,1,0,0
0691-ifbqw,0,0,1,1,1,fiber optic,1,1,2.37,20,1,0,1,1,1,1
9231-zjyam,0,0,1,0,1,fiber optic,0,0,36.93,18,0,0,1,0,0,1
0727-bmplr,0,0,1,1,1,fiber optic,0,0,37.38,7,1,0,1,1,1,0
0947-mugvo,1,1,1,0,1,fiber optic,0,1,5.37,24,0,0,0,0,0,1
1907-ubqfc,0,0,1,0,1,fiber optic,0,1,5.46,24,0,0,0,0,0,0
6513-eecdb,0,0,1,1,1,fiber optic,0,0,36.92,6,0,0,0,0,0,1
7074-ievoj,0,0,1,1,1,fiber optic,0,1,41.9,11,0,0,0,0,0,1
7028-dvoiq,0,0,1,1,1,fiber optic,0,0,20.83,19,1,0,1,1,0,0
4208-uffgw,0,0,1,0,1,dsl,0,0,26.62,11,0,0,0,0,0,1
9889-tmahg,0,0,1,0,1,fiber optic,1,0,11.57,27,0,1,1,1,1,1
6646-qvxlr,1,1,1,1,1,fiber optic,0,1,7.11,16,1,0,1,1,1,1
1374-dmzui,0,0,1,1,1,fiber optic,0,0,49.5,23,0,0,1,1,1,1
1989-prjhp,1,1,1,1,1,fiber optic,0,0,10.6,23,0,0,0,0,0,1
4822-rvybb,0,0,1,1,1,fiber optic,0,0,40.45,29,1,0,1,1,0,1
4145-uqxuq,0,0,1,0,1,fiber optic,0,0,42.93,9,1,0,1,1,0,1
1271-sjbgz,0,0,0,0,1,dsl,0,0,0.0,10,1,1,0,1,0,1
4441-nihpt,0,0,1,0,1,fiber optic,0,0,40.37,21,1,0,0,0,0,1
8999-bohse,0,0,1,0,1,fiber optic,0,0,3.96,27,0,0,1,1,0,1
8111-sllhi,1,1,1,1,1,fiber optic,0,1,33.25,26,1,0,1,1,1,1
5293-wxjak,1,5,1,1,1,fiber optic,0,0,17.25,27,1,1,1,1,0,1
4086-yqsnz,1,1,1,0,1,fiber optic,0,0,3.29,9,0,0,1,0,0,1
8399-yndch,0,0,1,0,1,dsl,0,0,34.62,14,1,0,1,0,0,1
4187-cinzd,0,0,1,0,1,fiber optic,0,1,6.13,30,0,0,1,1,0,1
9134-ceqmf,1,1,1,0,1,fiber optic,0,0,13.63,27,0,0,1,1,0,1
3372-kwfbm,0,0,1,1,1,fiber optic,0,0,19.18,22,0,0,1,0,0,1
3793-mmfuh,0,0,1,1,1,fiber optic,0,0,19.03,24,0,0,1,1,1,1
6567-hoopw,0,0,1,0,1,fiber optic,0,0,20.06,24,0,0,1,0,0,1
8621-mnihh,1,1,1,1,1,fiber optic,0,1,2.88,4,1,0,0,1,0,1
5419-conwx,0,0,1,0,1,fiber optic,0,1,12.68,10,1,0,1,1,1,1
5357-tzhpp,0,0,1,1,1,fiber optic,0,0,30.8,18,0,0,0,1,0,1
0506-lvngn,0,0,1,0,1,fiber optic,0,0,42.33,9,1,0,0,0,0,1
9809-imgcq,0,0,1,1,1,fiber optic,0,0,40.18,8,0,0,1,1,1,0
3254-yrilk,0,0,1,1,1,fiber optic,0,1,39.97,9,0,0,1,0,0,1
5240-ijoqt,0,0,1,1,1,fiber optic,0,0,11.34,20,0,0,0,0,0,1
0661-xeyan,0,0,0,0,1,dsl,0,0,0.0,26,0,0,0,0,0,0
2660-emubi,0,0,1,1,1,fiber optic,0,0,41.37,14,0,0,1,1,0,1
7675-ozczg,0,0,1,0,1,dsl,0,0,30.14,6,0,0,0,0,0,0
9391-eoyli,1,1,1,0,1,fiber optic,0,0,6.97,19,0,0,0,1,0,1
2761-ociax,0,0,1,0,1,fiber optic,0,1,6.51,11,0,0,0,0,0,1
3068-omwza,0,0,1,1,1,fiber optic,0,0,49.6,20,1,0,1,0,0,0
4154-aqugt,1,1,1,0,1,fiber optic,0,1,1.47,5,0,1,0,1,0,1
8017-lxhfa,0,0,1,0,1,fiber optic,0,1,31.17,23,0,0,1,1,0,1
4248-qpavc,1,1,1,1,1,fiber optic,1,0,36.82,6,1,0,0,0,0,1
4690-llkua,0,0,1,0,1,dsl,0,0,40.93,2,0,0,0,0,0,1
9490-dfpmd,0,0,1,1,1,fiber optic,0,0,9.53,17,0,0,1,0,0,1
8375-dkebr,0,0,1,0,1,fiber optic,0,0,34.51,15,0,0,0,0,0,1
7279-buywn,0,0,1,1,1,fiber optic,1,1,27.95,23,1,0,1,1,1,1
7156-mhugy,0,0,1,0,1,fiber optic,0,0,26.11,4,0,0,1,1,1,0
9606-pbkbq,1,1,1,1,1,fiber optic,0,0,5.99,23,0,0,0,1,1,1
3536-iqctx,1,1,1,1,1,fiber optic,0,0,49.6,10,0,0,0,1,1,1
6702-ohfwr,0,0,0,0,1,dsl,0,1,0.0,26,1,0,0,1,0,1
4510-pyush,0,0,1,0,1,dsl,1,1,26.1,27,0,0,0,0,0,1
4193-orfcl,0,0,1,0,1,dsl,0,0,15.24,14,0,0,0,0,0,1
7776-qwnfx,1,1,1,0,1,dsl,0,1,4.65,29,0,0,0,0,0,1
6689-tczhq,0,0,1,0,1,fiber optic,0,0,12.27,20,0,0,0,1,0,1
9497-qcmms,0,0,1,1,1,fiber optic,0,0,30.17,6,0,0,1,1,0,1
3424-nmnbo,1,1,1,1,1,fiber optic,1,1,49.38,19,1,0,1,1,0,1
4514-gfcfi,0,0,1,1,1,fiber optic,0,0,17.51,7,0,0,1,0,0,1
4795-ktrth,1,1,1,1,1,fiber optic,0,1,47.28,11,0,0,0,0,0,0
9961-jbnmk,0,0,1,0,1,fiber optic,0,0,42.27,7,1,0,1,1,0,1
8290-ywkhz,1,1,1,1,1,fiber optic,0,0,33.74,6,0,0,1,1,0,1
4021-rqsny,1,1,1,1,1,fiber optic,0,0,25.78,28,1,0,1,1,1,0
8699-asufo,1,1,1,1,1,fiber optic,0,0,8.92,17,0,0,0,0,0,1
4695-wjzue,0,0,1,1,1,fiber optic,0,0,21.57,28,1,0,0,1,1,1
3988-rqixo,0,0,1,0,1,fiber optic,0,0,43.61,2,0,0,1,1,1,1
5931-fljjf,1,1,1,0,1,fiber optic,0,0,16.05,22,0,0,0,0,0,1
3207-oybwh,1,1,1,1,1,fiber optic,0,1,49.91,21,1,0,0,1,0,1
7216-ewtrs,1,4,1,1,1,fiber optic,0,0,17.35,23,1,0,1,1,0,1
2528-hfyzx,1,2,1,0,1,fiber optic,0,1,1.05,8,0,0,0,0,0,1
4140-muhug,0,0,1,0,1,fiber optic,0,0,18.38,20,1,0,1,0,0,1
1587-fklzb,1,1,1,1,1,fiber optic,0,0,28.86,25,1,0,1,1,0,1
5440-flbqg,1,1,1,1,1,fiber optic,0,1,48.88,4,1,1,1,1,0,1
2774-lvqus,1,2,1,1,1,fiber optic,0,0,44.13,3,1,1,0,0,0,0
4612-thjbs,0,0,1,1,1,fiber optic,0,1,34.58,4,1,0,1,1,0,1
1846-xwoqn,0,0,1,0,1,fiber optic,0,0,47.97,8,0,0,0,0,0,1
3757-njybx,1,3,1,1,1,fiber optic,0,1,7.92,3,1,0,1,1,0,1
9898-kzqdz,1,1,1,1,1,fiber optic,0,0,49.5,20,0,0,1,1,1,1
8263-jqaik,0,0,0,0,1,dsl,0,0,0.0,6,0,0,0,0,0,1
2205-ymzzj,0,0,1,1,1,fiber optic,0,0,39.51,13,0,0,1,0,0,0
1254-izeyf,0,0,1,1,1,fiber optic,0,1,39.36,4,0,0,1,1,0,1
9221-otivj,0,0,1,1,1,fiber optic,0,1,29.96,7,1,0,1,1,0,1
5908-qmgoe,0,0,1,1,1,fiber optic,0,0,23.53,9,0,0,0,0,0,1
0397-gzbbc,0,0,1,1,1,fiber optic,0,0,10.78,15,0,0,1,1,0,1
8922-liegh,0,0,1,1,1,fiber optic,0,1,36.36,6,0,0,0,1,0,1
8245-umpyt,0,0,1,1,1,fiber optic,0,0,32.11,14,0,0,1,1,0,1
5186-samnz,0,0,1,0,1,fiber optic,0,0,41.2,15,0,0,0,0,0,0
5373-sfodm,1,1,1,1,1,fiber optic,0,0,24.54,5,0,0,0,1,1,1
0022-tcjci,0,0,1,0,1,dsl,1,0,10.67,17,1,0,0,1,0,1
5130-iekqt,0,0,1,1,1,fiber optic,0,1,46.34,22,1,0,1,1,0,1
3269-atywd,0,0,1,1,1,fiber optic,0,0,41.93,23,0,0,1,1,0,0
0354-wyrok,1,1,1,0,1,fiber optic,0,0,47.95,21,1,1,1,1,0,1
7576-oywbn,0,0,1,1,1,fiber optic,0,0,30.25,28,0,0,0,0,0,1
5539-tmzlf,0,0,1,0,1,fiber optic,0,0,33.84,5,0,0,0,0,0,1
3336-jorso,0,0,1,1,1,fiber optic,0,1,17.24,25,1,1,1,1,1,0
6861-xwtwq,1,1,1,1,1,fiber optic,0,0,42.92,2,1,0,1,1,1,1
4283-futgf,0,0,1,1,1,fiber optic,0,0,16.78,15,1,0,0,0,0,1
2397-brlom,1,2,1,0,1,fiber optic,0,0,26.99,2,0,0,1,0,0,1
8510-awcxc,0,0,1,1,1,fiber optic,1,0,7.22,28,0,0,1,1,0,1
8225-btjau,0,0,1,0,1,fiber optic,0,0,7.51,18,0,0,0,1,0,1
1724-bquha,0,0,1,0,1,fiber optic,0,0,45.72,6,0,0,1,1,0,1
4826-xtsoh,0,0,1,1,1,fiber optic,0,0,38.78,23,0,0,1,0,0,1
2408-witxk,0,0,0,0,1,dsl,0,0,0.0,4,0,0,0,1,0,1
0709-tvgur,0,0,1,1,1,fiber optic,0,0,17.56,27,0,0,0,0,0,1
3001-cbhlq,1,1,1,1,1,fiber optic,0,0,43.51,22,1,1,1,1,0,1
4102-oqupx,1,1,1,1,1,fiber optic,0,0,17.36,29,0,0,0,0,0,0
2454-rpbrz,1,1,1,1,1,fiber optic,0,1,30.63,27,1,0,1,0,0,1
2265-cywiv,1,1,1,1,1,fiber optic,1,0,18.91,20,0,0,1,1,0,1
4550-vbofe,1,1,1,1,1,fiber optic,0,1,17.45,20,1,0,1,1,0,1
1732-vhubq,1,1,1,0,1,fiber optic,0,0,26.95,26,0,0,0,0,0,1
0679-idstg,1,1,1,0,1,fiber optic,0,0,37.3,8,0,0,0,0,0,1
6313-gidit,0,0,0,0,1,dsl,0,1,0.0,25,1,0,1,1,0,1
2845-afftx,0,0,1,1,1,fiber optic,0,0,22.56,15,1,0,1,1,0,1
2815-cptul,0,0,1,0,1,fiber optic,0,0,2.27,17,0,0,0,0,0,1
1891-fzysa,1,1,1,1,1,fiber optic,0,1,16.34,4,0,0,1,0,0,0
9685-wkzgt,0,0,1,1,1,fiber optic,0,0,16.32,11,0,0,0,0,0,1
6022-uggso,0,0,1,0,1,fiber optic,0,1,33.22,9,0,0,0,0,0,1
3677-iyrbf,0,0,0,0,1,dsl,0,0,0.0,13,1,0,0,0,0,1
8118-lsuel,0,0,1,1,1,fiber optic,0,1,17.62,29,1,0,1,1,0,1
5277-zloor,0,0,1,1,1,fiber optic,0,0,5.49,25,0,0,1,0,0,1
5307-dzcvc,0,0,1,1,1,fiber optic,0,0,48.95,9,0,0,1,0,0,1
4803-axvyp,0,0,1,1,1,fiber optic,0,0,47.39,2,0,1,1,1,0,1
5649-anrml,0,0,1,0,1,fiber optic,0,1,12.96,20,1,1,0,1,0,1
7395-igjos,1,1,1,0,1,fiber optic,0,0,9.5,16,0,0,0,1,0,1
7890-vyywg,1,1,0,0,1,dsl,0,0,0.0,20,0,0,1,0,0,1
9907-swkkf,0,0,0,0,1,dsl,0,0,0.0,21,0,0,0,0,0,1
9710-zushq,0,0,1,1,1,fiber optic,1,1,41.85,2,0,0,1,1,0,1
3902-foigh,1,1,1,1,1,fiber optic,0,1,48.5,4,0,0,1,1,0,1
3318-osats,0,0,1,1,1,fiber optic,0,0,35.1,29,0,0,1,1,0,0
2636-alxxz,0,0,1,0,1,fiber optic,0,0,45.8,10,0,0,0,0,0,1
9885-csmwe,0,0,1,0,1,fiber optic,0,0,18.37,13,0,0,1,0,0,1
8058-jmeqo,0,0,1,1,1,fiber optic,0,0,12.91,21,0,0,0,1,0,1
8276-mqbyc,0,0,1,1,1,fiber optic,0,0,19.49,11,1,0,1,1,0,1
6015-vvhhe,0,0,1,1,1,fiber optic,0,0,41.83,25,0,0,1,0,0,1
2516-vqrrv,0,0,1,1,1,fiber optic,0,0,23.46,25,0,0,0,0,0,1
7580-ugxnc,0,0,1,0,1,dsl,1,1,25.74,6,0,0,0,0,0,1
5178-lmxop,1,1,1,1,1,fiber optic,0,0,4.89,11,0,0,1,1,0,1
7056-imhcc,1,1,1,1,1,fiber optic,0,1,7.94,6,0,0,1,1,0,1
8749-jmnkx,1,1,1,1,1,fiber optic,1,0,22.14,30,1,0,1,0,0,1
8414-myshr,0,0,1,0,1,fiber optic,0,0,4.59,11,0,0,1,1,0,1
4988-iqigl,0,0,1,1,1,fiber optic,0,0,28.49,18,0,0,0,0,0,1
4706-axvkm,0,0,1,1,1,fiber optic,0,0,4.1,5,0,0,0,1,0,1
5889-jtmul,1,1,1,1,1,fiber optic,0,1,31.56,4,1,0,1,0,0,0
9026-rnujs,0,0,1,0,1,dsl,0,0,18.69,28,1,0,0,0,0,1
1624-naloj,0,0,1,1,1,fiber optic,0,1,36.36,12,0,0,0,1,0,1
6210-kbbpi,0,0,1,1,1,fiber optic,0,1,10.66,15,0,0,1,1,0,1
2260-ustrb,0,0,1,0,1,fiber optic,0,0,9.55,28,0,0,0,0,0,1
6900-pxrms,0,0,1,1,1,fiber optic,0,1,1.26,18,1,0,1,1,1,0
3346-brmis,1,1,0,0,1,dsl,0,0,0.0,12,1,0,1,1,1,1
7579-oopec,1,1,1,0,1,dsl,0,1,6.86,20,0,0,0,0,0,1
1771-oadnz,1,1,1,1,1,fiber optic,0,1,35.38,21,1,0,0,1,1,0
0612-rtzza,0,0,0,0,1,dsl,0,0,0.0,15,0,0,0,0,0,1
4433-jcgcg,1,1,1,1,1,fiber optic,0,0,5.36,22,1,0,1,1,0,1
9488-hgmjh,0,0,1,0,1,fiber optic,0,0,24.75,22,0,0,0,0,0,0
4818-qiufn,0,0,1,1,1,fiber optic,1,0,11.82,5,0,0,0,0,0,1
6961-vcpmc,1,1,1,0,1,fiber optic,0,0,48.62,3,0,0,0,1,0,0
4424-tkopw,0,0,1,1,1,fiber optic,0,0,25.19,14,0,0,1,1,0,1
1866-rzzqs,0,0,1,1,1,fiber optic,0,0,42.06,21,1,0,1,1,0,1
8631-nbhfz,1,1,1,1,1,dsl,1,1,30.03,15,1,1,1,0,0,0
4958-xcbdq,0,0,1,1,1,fiber optic,0,0,39.69,25,1,0,1,1,0,1
8337-upoaq,0,0,1,1,1,fiber optic,0,0,16.88,24,1,0,0,1,0,1
5914-dvbwj,0,0,1,1,1,fiber optic,0,1,2.36,21,0,1,0,0,0,1
8644-xlfbw,0,0,1,0,1,fiber optic,0,0,28.46,12,0,0,0,0,0,1
1833-vgrum,0,0,1,1,1,fiber optic,0,0,48.95,23,0,0,0,0,0,1
6946-lmsqs,1,3,1,1,1,fiber optic,1,0,33.63,25,0,0,0,1,0,1
4039-heunw,1,1,1,1,1,fiber optic,0,1,16.61,3,0,0,1,1,0,1
0812-wuptb,1,1,1,0,1,fiber optic,0,0,49.6,13,0,0,0,0,0,1
3871-ikpyh,0,0,1,0,1,fiber optic,0,0,16.19,12,0,0,0,0,0,1
1304-necvq,0,0,1,1,1,fiber optic,0,0,43.96,14,1,0,0,0,0,1
5655-jsmzm,0,0,1,1,1,fiber optic,0,0,32.36,2,0,0,1,1,0,1
4505-exzhb,0,0,1,0,1,fiber optic,0,0,8.91,27,1,0,0,0,0,0
8972-hjwnv,1,1,1,1,1,fiber optic,0,0,21.43,12,0,0,0,1,0,1
2860-ranus,0,0,1,1,1,fiber optic,0,0,29.29,15,0,0,0,1,1,1
0406-bpdvr,0,0,1,1,1,fiber optic,0,1,33.49,8,0,0,1,1,1,1
5276-kqwhg,0,0,1,0,1,fiber optic,0,0,15.32,21,0,0,0,0,0,1
0946-cljti,1,1,1,1,1,fiber optic,0,0,3.18,5,1,0,1,1,1,1
5482-plvpe,0,0,0,0,1,dsl,0,0,0.0,11,0,0,0,0,0,1
4902-ohlsk,0,0,1,1,1,fiber optic,0,0,20.98,16,0,1,1,1,0,1
0495-zbngw,1,1,1,1,1,fiber optic,0,0,6.66,14,1,0,0,0,0,0
2357-coqek,0,0,1,1,1,fiber optic,0,0,28.14,10,1,1,1,1,0,1
2034-cgrhz,0,0,1,1,1,fiber optic,0,1,3.23,26,1,0,1,1,0,1
9360-ahgnl,1,7,1,1,1,fiber optic,1,0,8.75,13,1,1,1,1,0,1
2632-ucgvd,1,6,1,1,1,fiber optic,0,0,49.85,14,0,1,1,1,0,1
6425-yqllo,1,1,1,1,1,fiber optic,0,0,27.75,11,1,1,1,1,0,1
6899-ppeea,0,0,1,1,1,fiber optic,0,0,3.3,2,0,0,1,1,0,1
4597-nucqv,0,0,1,1,1,fiber optic,0,1,28.98,30,0,0,1,1,1,1
3754-dxmrt,0,0,1,0,1,dsl,0,0,43.66,25,0,0,0,0,0,1
7130-vtewq,0,0,1,1,1,fiber optic,0,0,13.8,6,0,0,0,0,0,1
1704-nrwye,0,0,1,0,1,fiber optic,0,0,43.34,2,0,0,1,0,0,1
7481-atqqs,0,0,1,1,1,fiber optic,0,0,44.88,15,1,0,0,1,0,1
1792-uxafy,0,0,1,0,1,fiber optic,0,1,30.37,28,1,0,1,0,0,1
6161-uuuta,0,0,1,0,1,fiber optic,0,0,2.98,3,0,0,1,0,0,1
6543-xrmyr,0,0,1,1,1,fiber optic,0,1,43.61,8,0,0,1,1,0,0
2479-bramr,1,1,1,1,1,fiber optic,1,0,45.84,18,1,0,0,0,0,1
3714-jtvov,1,1,1,0,1,fiber optic,1,0,2.9,21,0,0,0,0,0,1
8580-qvloc,0,0,1,1,1,dsl,1,1,25.77,6,1,1,1,1,0,1
2012-nwrpa,1,1,1,1,1,fiber optic,0,0,1.28,14,1,0,1,1,0,1
8808-eleho,0,0,1,1,1,fiber optic,0,0,5.02,26,1,0,0,0,0,1
8063-gbatb,0,0,1,1,1,fiber optic,0,0,31.17,25,0,0,0,1,1,1
1069-xaiem,0,0,1,1,1,fiber optic,0,0,16.37,7,0,0,0,1,1,1
6987-xqsjt,0,0,1,1,1,fiber optic,0,1,45.77,10,0,0,0,0,0,1
0722-troqr,0,0,1,1,1,fiber optic,0,0,26.23,29,0,0,0,0,0,1
6402-zfppi,0,0,1,1,1,fiber optic,1,1,36.5,30,0,0,1,1,0,1
0504-hhapi,0,0,1,1,1,fiber optic,0,0,16.94,11,1,0,0,1,0,1
2956-ggucq,1,1,1,1,1,fiber optic,1,0,2.05,22,0,0,0,0,0,1
2778-oclgr,1,1,0,0,1,dsl,1,0,0.0,5,0,0,0,1,0,1
7067-ksazt,1,1,1,1,1,fiber optic,0,1,18.69,30,1,0,1,1,0,1
9300-agznl,0,0,1,1,1,fiber optic,0,0,21.85,29,0,0,1,1,0,1
1112-cunao,0,0,1,1,1,fiber optic,0,1,4.28,6,0,0,0,1,0,1
3389-ygyai,0,0,1,1,1,fiber optic,0,1,45.16,15,1,0,1,1,0,1
3070-dveyc,0,0,1,1,1,fiber optic,0,0,32.4,7,0,0,0,0,0,1
5707-orndz,0,0,1,1,1,dsl,1,0,2.45,7,0,0,0,0,0,1
8696-jkznu,0,0,1,1,1,fiber optic,0,0,26.95,17,0,0,0,0,0,1
2055-pdadh,0,0,1,0,1,fiber optic,0,0,2.26,3,0,0,0,0,0,1
2302-antdp,1,9,1,1,1,fiber optic,1,1,43.04,5,1,1,1,1,0,1
5233-geeax,0,0,0,0,1,dsl,0,0,0.0,4,1,0,0,0,0,1
7137-rylpp,1,1,1,1,1,fiber optic,0,0,46.61,26,0,0,1,0,0,1
3957-lxolk,0,0,1,1,1,fiber optic,0,1,9.67,28,1,0,1,1,0,1
5281-buzgt,0,0,1,1,1,fiber optic,1,0,23.33,23,0,0,1,0,0,1
3217-fzdmn,0,0,1,0,1,fiber optic,0,0,5.21,8,1,0,1,1,0,1
7480-qnvzj,0,0,1,1,1,fiber optic,0,0,18.92,11,0,0,1,1,1,1
7124-ugsur,1,1,1,1,1,fiber optic,0,1,35.11,17,1,0,1,1,0,1
3247-zvouo,0,0,1,1,1,fiber optic,0,0,6.01,27,0,0,0,1,0,1
1268-asbga,1,1,1,1,1,fiber optic,0,0,9.93,27,0,0,0,1,0,1
6502-hcjti,0,0,1,1,1,fiber optic,1,1,9.7,17,0,0,0,1,1,1
8258-gstjk,0,0,1,1,1,fiber optic,0,0,48.34,20,0,0,0,0,0,1
2995-uprys,1,1,1,0,1,fiber optic,0,1,19.76,22,0,1,1,1,1,1
6686-ypghk,0,0,1,0,1,fiber optic,1,0,36.58,20,0,0,0,1,1,0
8020-bwhyl,0,0,1,0,1,fiber optic,0,1,7.99,27,0,0,0,0,0,1
6892-xpfpu,1,3,1,1,1,fiber optic,0,1,49.76,11,1,0,1,1,1,1
8010-ezlou,0,0,1,1,1,fiber optic,0,1,12.08,5,0,0,0,0,0,1
8062-ybdoe,0,0,1,0,1,fiber optic,0,0,7.23,2,0,0,0,0,0,1
8988-ecpjr,1,1,1,1,1,fiber optic,0,1,25.84,15,0,0,0,0,0,1
0643-oklrp,1,1,1,1,1,fiber optic,1,0,38.31,7,0,0,0,0,0,0
1075-bgwoh,1,1,1,1,1,fiber optic,0,0,15.16,7,1,0,1,1,0,1
8485-gjcdn,0,0,1,0,1,fiber optic,0,0,30.05,11,0,0,0,0,0,1
6029-wtipc,0,0,1,1,1,fiber optic,0,0,38.06,19,1,0,1,1,0,1
3317-hrtnn,0,0,0,0,1,dsl,0,0,0.0,15,0,0,1,1,0,1
5747-pmbsq,1,1,1,0,1,fiber optic,0,1,11.12,30,1,1,1,0,0,0
6168-wfvvf,0,0,1,0,1,fiber optic,0,0,5.54,16,0,0,0,0,0,1
7450-nwrtr,0,0,1,1,1,fiber optic,0,0,21.89,26,1,0,1,1,0,1
6005-obzph,0,0,1,1,1,fiber optic,0,1,9.09,12,0,0,1,0,0,1
7932-wptds,1,1,0,0,1,dsl,0,0,0.0,19,0,0,0,0,0,1
7000-wcevq,0,0,1,1,1,dsl,0,0,27.11,27,0,0,0,1,0,1
5959-belxa,0,0,1,1,1,fiber optic,0,0,25.45,18,0,0,1,1,0,1
2506-tnfco,1,1,1,0,1,fiber optic,0,0,12.46,22,0,0,0,0,0,1
6060-drtnl,0,0,1,0,1,fiber optic,0,0,27.35,27,1,0,1,0,0,0
8473-vuvjn,0,0,1,1,1,fiber optic,0,0,39.88,19,0,0,0,0,0,1
0196-vulgz,1,1,1,1,1,fiber optic,0,0,28.71,17,0,0,0,1,0,1
1976-cfocs,1,1,1,0,1,dsl,0,0,7.74,19,0,0,0,0,0,1
4631-oacrm,0,0,1,0,1,fiber optic,0,0,17.23,12,0,0,0,1,0,1
3755-jbmnh,1,1,1,0,1,fiber optic,0,0,45.9,5,0,0,0,0,0,1
5550-vfrlc,0,0,1,0,1,fiber optic,0,0,43.45,30,0,0,0,0,0,0
2657-almwy,1,1,1,0,1,fiber optic,0,1,18.26,3,0,0,0,1,1,1
6284-ahooq,0,0,1,1,1,fiber optic,0,0,46.11,27,0,1,1,0,0,1
0875-cabnr,0,0,1,0,1,fiber optic,0,0,16.85,30,1,0,0,1,1,1
0193-eszxp,1,1,1,0,1,fiber optic,1,1,16.94,19,0,1,1,1,1,1
4369-htuif,0,0,1,0,1,fiber optic,1,0,29.41,30,0,0,1,0,0,1
5287-qwlky,1,1,1,1,1,fiber optic,1,1,44.66,8,0,0,1,1,1,1
1891-uawwu,1,1,1,1,1,fiber optic,0,0,4.77,17,1,0,1,0,0,1
3096-jrdso,1,5,1,1,1,fiber optic,1,0,10.19,27,0,1,1,1,0,1
1265-xtecc,1,5,1,1,1,fiber optic,1,1,1.98,19,0,0,0,1,0,1
1415-yfwlt,0,0,1,0,1,fiber optic,0,0,30.23,30,0,0,1,1,0,1
